birth,brand,code,explain,firm_import,firm_madein,image_link,made_in,material,material2,now_price,origin_price,product,star_score,target
2019-09-01,FAYEWOO,300740586,Closet Off Shoulder OPS,FAYEWOO,FAYEWOO / KOREA,nan,KOREA,"WOOL 70%, COTTON 20%, NYLON 6%, ACRYLIC 4%","WOOL 70%, COTTON 20%, NYLON 6%, ACRYLIC 4%","350,400","584,000",MAXIS,0,WOMEN
2018-08-01,FAYRI,300504727,Elira Wide Leg Pants (Peach Breeze)   250000,FAYRI,FAYRI / KOREA,nan,KOREA,60 Rayon/40 Linen,60 Rayon/40 Linen,"125,000","250,000",WIDE LEG,0,WOMEN
2019-09-01,FAYEWOO,300740592,Anthony Jacket,FAYEWOO,FAYEWOO / KOREA,nan,KOREA,WOOL 100%,WOOL 100%,"249,000","498,000",JACKET,0,WOMEN
2018-09-01,Fatalism,300541442,#Y001 RAININ Slim Fit,퍼스트매니지먼트,퍼스트매니지먼트 / KOREA,nan,KOREA,면 98% 엘라스틴 2%,면 98% 엘라스틴 2%,nan,"79,000",CROPPED,0,WOMEN
2019-09-01,FAYEWOO,300740556,Decore Lace Skirt,FAYEWOO,FAYEWOO / KOREA,nan,KOREA,RAYON 100%,RAYON 100%,"238,800","398,000",MIDDLE-LENGTH SKIRT,0,WOMEN
2018-09-01,Fatalism,300541461,#Y011 Sunset blue slim fit,(주)퍼스트매니지먼트,(주)퍼스트매니지먼트 / KOREA,nan,KOREA,면 98% 엘라스틴 2%,면 98% 엘라스틴 2%,nan,"79,000",CROPPED,0,WOMEN
2019-09-23,Fantastic Generation,300749360,FANTASTIC GENERATION JACKET black,Fantastic Generation,Fantastic Generation / KOREA,nan,KOREA,"POLYESTER 70, RAYON 28, SPAN 2","POLYESTER 70, RAYON 28, SPAN 2","132,050","139,000",JACKET,0,WOMEN
2019-09-15,FLASK,300745710,LAMBSKIN MULTI-STUD RIDER JACKET,design by FLASK KOREA,design by FLASK KOREA / CHINA,nan,CHINA,LAMBSKIN 100%,LAMBSKIN 100%,"259,500","519,000",LEATHER JACKET,0,WOMEN
2019-09-23,Fantastic Generation,300749362,FANTASTIC GENERATION JACKET brown,Fantastic Generation,Fantastic Generation / KOREA,nan,KOREA,"POLYESTER 70, RAYON 28, SPAN 2","POLYESTER 70, RAYON 28, SPAN 2","132,050","139,000",JACKET,0,WOMEN
2019-10-30,FLASK,300787030,CONVERATION DUCK DOWN PADDING -WT,FLASK,FLASK / KOREA,nan,KOREA,PREMIUM DUCKDOWN 100%,PREMIUM DUCKDOWN 100%,"134,000","268,000",PADDING,0,WOMEN
2019-09-15,FLASK,300745714,LAMBSKIN OVERFIT RIDER JACKET - unisex,design by FLASK KOREA,design by FLASK KOREA / CHINA,nan,CHINA,LAMBSKIN 100%,LAMBSKIN 100%,"199,000","398,000",LEATHER JACKET,0,WOMEN
2019-11-24,FLASK,300817530,LAMBSKIN CLASSIC MUSTANG JACKET - unisex,design by KOREA,design by KOREA / CHINA,nan,CHINA,LAMBSKIN 100%,LAMBSKIN 100%,"242,550","539,000",JACKET,0,WOMEN
2019-09-10,FACADE PATTERN,300743902,릴렉스 스트레이트 데님_deep indigo,바이컨디셔널,바이컨디셔널 / KOREA,nan,KOREA,Cotton 100%,Cotton 100%,"86,400","108,000",STRAIGHT,0,WOMEN
2019-09-10,FACADE PATTERN,300742259,타임리스 울 재킷_black,바이컨디셔널,바이컨디셔널 / KOREA,nan,KOREA,WOOL 60% POLYESTER 32% ZENTRA 8%,WOOL 60% POLYESTER 32% ZENTRA 8%,"268,200","298,000",JACKET,0,WOMEN
2019-09-10,FACADE PATTERN,300742249,개버딘 울 랩스커트_black,바이컨디셔널,바이컨디셔널 / KOREA,nan,KOREA,WOOL 60% POLYESTER 40%,WOOL 60% POLYESTER 40%,"151,200","168,000",LONG SKIRT,0,WOMEN
2019-09-10,FACADE PATTERN,300742254,울 롤넥탑_6color,바이컨디셔널,바이컨디셔널 / KOREA,nan,KOREA,Tencel 67% Wool 29%Span 4%,Tencel 67% Wool 29%Span 4%,"48,600","54,000",TURTLE-NECK,0,WOMEN
2019-09-15,FLASK,300745715,LAMBSKIN STANDARD RIDER JACKET,design by FLASK KOREA,design by FLASK KOREA / CHINA,nan,CHINA,LAMBSKIN 100%,LAMBSKIN 100%,"164,500","329,000",LEATHER JACKET,0,WOMEN
2019-11-01,F.cocoromiz,300814208,color p shawl collar dress BK,에프코코로미즈,에프코코로미즈 / KOREA,nan,KOREA,POLYESTER 100,POLYESTER 100,"143,100","159,000",MAXIS,0,WOMEN
2019-05-13,EYEYE,300712055,CHECK PATTERN KNIT CARDIGAN_L.PURPLE (EEON3CDR01W),아이아이,아이아이 / KOREA,nan,KOREA,ACRYLIC 100%,ACRYLIC 100%,"107,400","179,000",CARDIGAN,0,WOMEN
2019-05-13,EYEYE,300712033,CHECK PATCHED EMBROIDERY DENIM PANT_BLUE (EEON3DPR01W),아이아이,아이아이 / KOREA,nan,KOREA,MAIN COTTON 100% / SUB POLYESTER 65% RAYON 32% POLYURETHANE 3%,MAIN COTTON 100% / SUB POLYESTER 65% RAYON 32% POLYURETHANE 3%,"135,200","169,000",STRAIGHT,0,WOMEN
2019-05-13,EYEYE,300712026,TRENCH CHECK WRAP ONE PIECE_GREY (EEON3OPR02W),아이아이,아이아이 / KOREA,nan,KOREA,MAIN POLYESTER 70% RAYON 28% SPAN 2% LINING POLYESTER 100%,MAIN POLYESTER 70% RAYON 28% SPAN 2% LINING POLYESTER 100%,"169,150","199,000",MAXIS,0,WOMEN
2018-09-01,ESTO,300556731,NB OR,brock,brock / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,"39,000","69,000",SHIRTS,0,WOMEN
2018-08-01,ESTO,300556740,18HSM12 WH,brock,brock / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,"35,000","39,000",SHORT-SLEEVE TEE,0,WOMEN
2018-08-01,ESTO,300556720,KAMONB KK,brock,brock / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,"49,000","89,000",SHIRTS,0,WOMEN
2018-08-01,ESTO,300556748,18HSM02,brock,brock / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,"35,000","39,000",GRAPHIC TEE,0,WOMEN
2018-08-01,ESTO,300556749,18HSM01,brock,brock / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,"35,000","39,000",GRAPHIC TEE,0,WOMEN
2017-03-20,FAS Sweden,300321030,MIRA LINEN BLOUSE(PURPLE BEIGE),빅터서울 / VICTORSEOUL,빅터서울 / VICTORSEOUL / Romania,nan,Romania,56% Tencel 44% Linen,56% Tencel 44% Linen,"94,500","135,000",BLOUSE,0,WOMEN
2017-03-20,FAS Sweden,300321029,MIRA LINEN BLOUSE(BEIGE),빅터서울 / VICTORSEOUL,빅터서울 / VICTORSEOUL / Romania,nan,Romania,56% Tencel 44% Linen,56% Tencel 44% Linen,"94,500","135,000",BLOUSE,0,WOMEN
2017-06-01,FAS Sweden,300342811,DALIA MAXI DRESS,빅터서울,빅터서울 / Romania,nan,Romania,100% COTTON & 100%VISCOSE,100% COTTON & 100%VISCOSE,"154,700","221,000",MAXIS,0,WOMEN
2017-04-05,FAS Sweden,300322523,AMANDA JERSEY MAXI DRESS(ASIAN FIT 진행),빅터서울 / VICTORSEOUL,빅터서울 / VICTORSEOUL / Romania,nan,Romania,95% Viscose 5% Elastane,95% Viscose 5% Elastane,"154,840","221,200",MAXIS,0,WOMEN
2019-09-26,FAN YOUNG,300763739,Crop Sweatshirt(Turquoise),바농스튜디오,바농스튜디오 / KOREA,nan,KOREA,cotton 100%,cotton 100%,nan,"128,000",LONG-SLEEVE TEE,0,WOMEN
